medalist_name,medal,country_medal,date_of_birth,place_of_birth,place_of_birth_located_in,event_name
Tigst Assefa,silver,Ethiopia,1996-12-03,Addis Ababa,Ethiopia,athletics at the 2024 Summer Olympics – women's marathon
Hellen Obiri,bronze,Kenya,1989-12-13,Kisii,Kisii County,athletics at the 2024 Summer Olympics – women's marathon
Yang Jiayu,gold,People's Republic of China,1996-02-18,Wuhai,Inner Mongolia,athletics at the 2024 Summer Olympics – women's 20 kilometres walk
María Pérez,silver,Spain,1996-04-29,Orce,Province of Granada,athletics at the 2024 Summer Olympics – women's 20 kilometres walk
Jemima Montag,bronze,Australia,1998-02-15,East Melbourne,City of Melbourne,athletics at the 2024 Summer Olympics – women's 20 kilometres walk
Yaroslava Mahuchikh,gold,Ukraine,2001-09-19,Dnipro,Dnipro Raion,athletics at the 2024 Summer Olympics – women's high jump
Nicola Olyslagers,silver,Australia,1996-12-28,North Gosford,New South Wales,athletics at the 2024 Summer Olympics – women's high jump
Eleanor Patterson,bronze,Australia,1996-05-22,Leongatha,Victoria,athletics at the 2024 Summer Olympics – women's high jump
Nina Kennedy,gold,Australia,1997-04-05,Perth,Western Australia,athletics at the 2024 Summer Olympics – women's pole vault
Katie Moon,silver,United States of America,1991-06-13,Lakewood,Cuyahoga County,athletics at the 2024 Summer Olympics – women's pole vault
Alysha Newman,bronze,Canada,1994-06-29,London,Middlesex County,athletics at the 2024 Summer Olympics – women's pole vault
Tara Davis-Woodhall,gold,United States of America,1999-05-20,Mesquite,Dallas County,athletics at the 2024 Summer Olympics – women's long jump
Malaika Mihambo,silver,Germany,1994-02-03,Heidelberg,Karlsruhe Government Region,athletics at the 2024 Summer Olympics – women's long jump
Jasmine Moore,bronze,United States of America,2001-05-01,Grand Prairie,Dallas County,athletics at the 2024 Summer Olympics – women's long jump
Thea LaFond,gold,Dominica,1994-04-05,Roseau,Saint George Parish,athletics at the 2024 Summer Olympics – women's triple jump
Shanieka Ricketts,silver,Jamaica,1992-02-02,Saint Thomas Parish,Surrey County,athletics at the 2024 Summer Olympics – women's triple jump
Jasmine Moore,bronze,United States of America,2001-05-01,Grand Prairie,Dallas County,athletics at the 2024 Summer Olympics – women's triple jump
Yemisi Ogunleye,gold,Germany,1998-10-03,Germersheim,Germersheim,athletics at the 2024 Summer Olympics – women's shot put
Maddison-Lee Wesche,silver,New Zealand,1999-06-13,Auckland,Auckland Region,athletics at the 2024 Summer Olympics – women's shot put
Song Jiayuan,bronze,People's Republic of China,1997-09-15,Shanghai,People's Republic of China,athletics at the 2024 Summer Olympics – women's shot put
Valarie Allman,gold,United States of America,1995-02-23,Newark,New Castle County,athletics at the 2024 Summer Olympics – women's discus throw
Feng Bin,silver,People's Republic of China,1994-04-03,Penglai District,Yantai,athletics at the 2024 Summer Olympics – women's discus throw
Sandra Perković,bronze,Croatia,1990-06-21,Zagreb,Croatia,athletics at the 2024 Summer Olympics – women's discus throw
Camryn Rogers,gold,Canada,1999-06-07,Richmond,Metro Vancouver Regional District,athletics at the 2024 Summer Olympics – women's hammer throw
Annette Echikunwoke,silver,United States of America,1996-07-29,Pickerington,Franklin County,athletics at the 2024 Summer Olympics – women's hammer throw
Zhao Jie,bronze,People's Republic of China,2002-10-13,NA,NA,athletics at the 2024 Summer Olympics – women's hammer throw
Haruka Kitaguchi,gold,Japan,1998-03-16,Asahikawa,Kamikawa Subprefecture,athletics at the 2024 Summer Olympics – women's javelin throw
Jo-Ané van Dyk,silver,South Africa,1997-10-03,Worcester,Breede Valley Local Municipality,athletics at the 2024 Summer Olympics – women's javelin throw
Nikola Ogrodníková,bronze,Czech Republic,1990-08-18,Ostrava,Ostrava-City District,athletics at the 2024 Summer Olympics – women's javelin throw
Nafissatou Thiam,gold,Belgium,1994-08-19,City of Brussels,Arrondissement of Brussels-Capital,athletics at the 2024 Summer Olympics – women's heptathlon
Katarina Johnson-Thompson,silver,United Kingdom,1993-01-09,Liverpool,Liverpool,athletics at the 2024 Summer Olympics – women's heptathlon
Noor Vidts,bronze,Belgium,1996-05-30,Vilvoorde,Arrondissement of Halle-Vilvoorde,athletics at the 2024 Summer Olympics – women's heptathlon
Eugene Omalla,gold,Netherlands,2000-10-05,Zoetermeer,South Holland,athletics at the 2024 Summer Olympics – mixed 4 × 400 metres relay
Lieke Klaver,gold,Netherlands,1998-08-20,Velsen,North Holland,athletics at the 2024 Summer Olympics – mixed 4 × 400 metres relay
Isaya Klein Ikkink,gold,Netherlands,2003-05-13,Vlaardingen,South Holland,athletics at the 2024 Summer Olympics – mixed 4 × 400 metres relay
Femke Bol,gold,Netherlands,2000-02-23,Amersfoort,Utrecht,athletics at the 2024 Summer Olympics – mixed 4 × 400 metres relay
Cathelijn Peeters,gold,Netherlands,1996-11-06,Dongen,North Brabant,athletics at the 2024 Summer Olympics – mixed 4 × 400 metres relay
Vernon Norwood,silver,United States of America,1992-04-10,New Orleans,Orleans Parish,athletics at the 2024 Summer Olympics – mixed 4 × 400 metres relay
Shamier Little,silver,United States of America,1995-03-20,Louisville,Jefferson County,athletics at the 2024 Summer Olympics – mixed 4 × 400 metres relay
Bryce Deadmon,silver,United States of America,1997-03-26,Missouri City,Fort Bend County,athletics at the 2024 Summer Olympics – mixed 4 × 400 metres relay
Kaylyn Brown,silver,United States of America,2004-12-31,Charlotte,Mecklenburg County,athletics at the 2024 Summer Olympics – mixed 4 × 400 metres relay
Samuel Reardon,bronze,United Kingdom,2003-10-30,Sheffield,Sheffield,athletics at the 2024 Summer Olympics – mixed 4 × 400 metres relay
Laviai Nielsen,bronze,United Kingdom,1996-03-13,London,Greater London,athletics at the 2024 Summer Olympics – mixed 4 × 400 metres relay
Alex Haydock-Wilson,bronze,United Kingdom,1999-07-28,Eton,Windsor and Maidenhead,athletics at the 2024 Summer Olympics – mixed 4 × 400 metres relay
Amber Anning,bronze,United Kingdom,2000-11-18,London,Greater London,athletics at the 2024 Summer Olympics – mixed 4 × 400 metres relay
Nicole Yeargin,bronze,United Kingdom,1997-08-11,Bowie,Prince George's County,athletics at the 2024 Summer Olympics – mixed 4 × 400 metres relay
Álvaro Martín,gold,Spain,1994-06-18,Llerena,Province of Badajoz,athletics at the 2024 Summer Olympics – mixed marathon walk relay
María Pérez,gold,Spain,1996-04-29,Orce,Province of Granada,athletics at the 2024 Summer Olympics – mixed marathon walk relay
Brian Pintado,silver,Ecuador,1995-07-29,Cuenca,Azuay Province,athletics at the 2024 Summer Olympics – mixed marathon walk relay
Glenda Morejón,silver,Ecuador,2000-05-30,Ibarra,Ibarra Canton,athletics at the 2024 Summer Olympics – mixed marathon walk relay
Rhydian Cowley,bronze,Australia,1991-01-04,Clayton,Victoria,athletics at the 2024 Summer Olympics – mixed marathon walk relay
Jemima Montag,bronze,Australia,1998-02-15,East Melbourne,City of Melbourne,athletics at the 2024 Summer Olympics – mixed marathon walk relay
Viktor Axelsen,gold,Denmark,1994-01-04,Odense,Odense Municipality,badminton at the 2024 Summer Olympics – men's singles
Kunlavut Vitidsarn,silver,Thailand,2001-05-11,Bangkok,Thailand,badminton at the 2024 Summer Olympics – men's singles
Lee Zii Jia,bronze,Malaysia,1998-03-29,Alor Setar,Kota Setar,badminton at the 2024 Summer Olympics – men's singles
Lee Yang,gold,Chinese Taipei,1995-08-12,Taipei,Taiwan,badminton at the 2024 Summer Olympics – men's doubles
Wang Chi-Lin,gold,Chinese Taipei,1995-01-18,Taipei,Taiwan,badminton at the 2024 Summer Olympics – men's doubles
Liang Weikeng,silver,People's Republic of China,2000-11-30,Guangzhou,Guangdong,badminton at the 2024 Summer Olympics – men's doubles
Wang Chang,silver,People's Republic of China,2001-05-07,Ningbo,Zhejiang,badminton at the 2024 Summer Olympics – men's doubles
Aaron Chia Teng Fong,bronze,Malaysia,1997-02-24,Malacca,Malaysia,badminton at the 2024 Summer Olympics – men's doubles
Soh Wooi Yik,bronze,Malaysia,1998-02-17,Kuala Lumpur,Malaysia,badminton at the 2024 Summer Olympics – men's doubles
An Se-young,gold,South Korea,2002-02-05,Gwangju,South Korea,badminton at the 2024 Summer Olympics – women's singles
He Bingjiao,silver,People's Republic of China,1997-03-21,Lianyungang,Jiangsu,badminton at the 2024 Summer Olympics – women's singles
Gregoria Mariska Tunjung,bronze,Indonesia,1999-08-11,Wonogiri,Central Java,badminton at the 2024 Summer Olympics – women's singles
Chen Qingchen,gold,People's Republic of China,1997-06-23,Xingning,Meizhou,badminton at the 2024 Summer Olympics – women's doubles
Jia Yifan,gold,People's Republic of China,1997-06-29,Tianjin,People's Republic of China,badminton at the 2024 Summer Olympics – women's doubles
Liu Shengshu,silver,People's Republic of China,2004-04-08,Liaoning,People's Republic of China,badminton at the 2024 Summer Olympics – women's doubles
Tan Ning,silver,People's Republic of China,2003-04-03,Fujian,People's Republic of China,badminton at the 2024 Summer Olympics – women's doubles
Nami Matsuyama,bronze,Japan,1998-06-28,Fukuoka Prefecture,Japan,badminton at the 2024 Summer Olympics – women's doubles
Chiharu Shida,bronze,Japan,1997-04-29,Hachirogata,Minamiakita District,badminton at the 2024 Summer Olympics – women's doubles
Zheng Siwei,gold,People's Republic of China,1997-02-26,Wenzhou,Zhejiang,badminton at the 2024 Summer Olympics – mixed doubles
Huang Yaqiong,gold,People's Republic of China,1994-02-28,Zhejiang,People's Republic of China,badminton at the 2024 Summer Olympics – mixed doubles
Kim Won-ho,silver,South Korea,1999-06-02,Suwon,Gyeonggi,badminton at the 2024 Summer Olympics – mixed doubles
Jeong Na-eun,silver,South Korea,2000-06-27,Seoul,South Korea,badminton at the 2024 Summer Olympics – mixed doubles
Yuta Watanabe,bronze,Japan,1997-06-13,Suginami-ku,Tokyo,badminton at the 2024 Summer Olympics – mixed doubles
Arisa Higashino,bronze,Japan,1996-08-01,Iwamizawa,Hokkaido,badminton at the 2024 Summer Olympics – mixed doubles
Bam Adebayo,gold,United States of America,1997-07-18,Pinetown,Beaufort County,basketball at the 2024 Summer Olympics – men's tournament
Devin Booker,gold,United States of America,1996-10-30,Grand Rapids,Kent County,basketball at the 2024 Summer Olympics – men's tournament
Stephen Curry,gold,United States of America,1988-03-14,Akron,Summit County,basketball at the 2024 Summer Olympics – men's tournament
Anthony Davis,gold,United States of America,1993-03-11,Chicago,Cook County,basketball at the 2024 Summer Olympics – men's tournament
Kevin Durant,gold,United States of America,1988-09-29,Suitland,Prince George's County,basketball at the 2024 Summer Olympics – men's tournament
Anthony Edwards,gold,United States of America,2001-08-05,Atlanta,Fulton County,basketball at the 2024 Summer Olympics – men's tournament
Joel Embiid,gold,United States of America,1994-03-16,Yaoundé,Centre,basketball at the 2024 Summer Olympics – men's tournament
Tyrese Haliburton,gold,United States of America,2000-02-29,Oshkosh,Winnebago County,basketball at the 2024 Summer Olympics – men's tournament
Jrue Holiday,gold,United States of America,1990-06-12,Los Angeles,Los Angeles County,basketball at the 2024 Summer Olympics – men's tournament
LeBron James,gold,United States of America,1984-12-30,Akron,Summit County,basketball at the 2024 Summer Olympics – men's tournament
Jayson Tatum,gold,United States of America,1998-03-03,St. Louis,Missouri,basketball at the 2024 Summer Olympics – men's tournament
Derrick White,gold,United States of America,1994-07-02,Parker,Douglas County,basketball at the 2024 Summer Olympics – men's tournament
Andrew Albicy,silver,France,1990-03-21,Sèvres,Hauts-de-Seine,basketball at the 2024 Summer Olympics – men's tournament
Nicolas Batum,silver,France,1988-12-14,Lisieux,Communauté d'agglomération Lisieux Normandie,basketball at the 2024 Summer Olympics – men's tournament
Isaia Cordinier,silver,France,1996-11-28,Créteil,Val-de-Marne,basketball at the 2024 Summer Olympics – men's tournament
Bilal Coulibaly,silver,France,2004-07-26,Saint-Cloud,Hauts-de-Seine,basketball at the 2024 Summer Olympics – men's tournament
Nando de Colo,silver,France,1987-06-23,Sainte-Catherine,Pas-de-Calais,basketball at the 2024 Summer Olympics – men's tournament
Evan Fournier,silver,France,1992-10-29,Saint-Maurice,Val-de-Marne,basketball at the 2024 Summer Olympics – men's tournament
Rudy Gobert,silver,France,1992-06-26,Saint-Quentin,canton of Saint-Quentin-Centre,basketball at the 2024 Summer Olympics – men's tournament
Mathias Lessort,silver,France,1995-09-29,Fort-de-France,Martinique,basketball at the 2024 Summer Olympics – men's tournament
Frank Ntilikina,silver,France,1998-07-28,Ixelles - Elsene,Arrondissement of Brussels-Capital,basketball at the 2024 Summer Olympics – men's tournament
Matthew Strazel,silver,France,2002-08-05,Bourg-la-Reine,Seine,basketball at the 2024 Summer Olympics – men's tournament
Victor Wembanyama,silver,France,2004-01-04,Le Chesnay,Yvelines,basketball at the 2024 Summer Olympics – men's tournament
Guerschon Yabusele,silver,France,1995-12-17,Dreux,canton of Dreux-Est,basketball at the 2024 Summer Olympics – men's tournament
Aleksa Avramović,bronze,Serbia,1994-10-25,Čačak,Čačak,basketball at the 2024 Summer Olympics – men's tournament
Bogdan Bogdanović,bronze,Serbia,1992-08-18,Belgrade,City of Belgrade,basketball at the 2024 Summer Olympics – men's tournament
Dejan Davidovac,bronze,Serbia,1995-01-17,Zrenjanin,Zrenjanin City,basketball at the 2024 Summer Olympics – men's tournament
Ognjen Dobrić,bronze,Serbia,1994-10-27,Knin,Šibenik-Knin County,basketball at the 2024 Summer Olympics – men's tournament
Marko Gudurić,bronze,Serbia,1995-03-08,Priboj,Priboj Municipality,basketball at the 2024 Summer Olympics – men's tournament
Nikola Jokić,bronze,Serbia,1995-02-19,Sombor,Sombor Municipality,basketball at the 2024 Summer Olympics – men's tournament
Nikola Jović,bronze,Serbia,2003-06-09,Leicester,City of Leicester,basketball at the 2024 Summer Olympics – men's tournament
Vanja Marinković,bronze,Serbia,1997-01-09,Belgrade,City of Belgrade,basketball at the 2024 Summer Olympics – men's tournament
Vasilije Micić,bronze,Serbia,1994-01-13,Kraljevo,Grad Kraljevo,basketball at the 2024 Summer Olympics – men's tournament
Nikola Milutinov,bronze,Serbia,1994-12-30,Novi Sad,Novi Sad City,basketball at the 2024 Summer Olympics – men's tournament
Filip Petrušev,bronze,Serbia,2000-04-15,Belgrade,City of Belgrade,basketball at the 2024 Summer Olympics – men's tournament
Uroš Plavšić,bronze,Serbia,1998-01-01,Čačak,Čačak,basketball at the 2024 Summer Olympics – men's tournament
Napheesa Collier,gold,United States of America,1996-09-23,O'Fallon,St. Charles County,basketball at the 2024 Summer Olympics – women's tournament
Kahleah Copper,gold,United States of America,1994-08-28,Philadelphia,Philadelphia County,basketball at the 2024 Summer Olympics – women's tournament
Chelsea Gray,gold,United States of America,1992-10-08,Hayward,Alameda County,basketball at the 2024 Summer Olympics – women's tournament
Brittney Griner,gold,United States of America,1990-10-18,Houston,Harris County,basketball at the 2024 Summer Olympics – women's tournament
Sabrina Ionescu,gold,United States of America,1997-12-06,Walnut Creek,Contra Costa County,basketball at the 2024 Summer Olympics – women's tournament
Jewell Loyd,gold,United States of America,1993-10-05,Chicago,Cook County,basketball at the 2024 Summer Olympics – women's tournament
Kelsey Plum,gold,United States of America,1994-08-24,Poway,San Diego County,basketball at the 2024 Summer Olympics – women's tournament
